형태소,빈도수
의외,4
잡은,4
찾기,4
올레길,4
카페인,4
좋아지는,4
들른,4
ㅠㅜ,4
에겐,4
초콜릿,4
만으로도,4
노을,4
고픈,4
한적한,4
더워서,4
그릇,4
먹었을,4
한정,4
해보고,4
계신,4
않게,4
샀는데,4
잡고,4
선물,4
들어있는,4
두고,4
자극,4
만드는,4
않으면서,4
로는,4
느껴졌다,4
좋아하지,4
접근성,4
달콤,4
첨가,4
특성,4
투어,4
되었는데,4
돼요,4
무조건,4
손길,4
쓰고,4
개성,4
병과,4
커다란,4
없지,4
다행,4
충격,4
포트,4
달콤하고,4
올려,4
곁들여,4
그렇고,4
드립커피,4
놀랐다,4
싶었다,4
들었어요,4
함덕,4
미국,4
노곤,4
어울린다,4
아이리시,4
알바,4
감안,4
준다,4
찾아간,4
여러가지,4
해놓은,4
진해서,4
들어,4
시원하게,4
유기농,4
평가,4
일품,4
시켰다,4
목축업,4
사업,4
규모,4
유지방,4
느껴,4
아니었어요,4
따뜻하게,4
담아,4
수제,4
그렇다고,4
됩니다,4
차가,4
찍으면,4
팔아요,4
초콜렛,4
스러운,4
발라,4
접시,4
촉촉한,4
겉바,4
전면,4
마침,4
만하,4
간판,4
만족도,4
이던,4
보롬왓,4
쇼파,4
메밀,4
가든,4
봤지만,4
있었지만,4
수다,4
히비스커스,4
센스,4
완벽,4
좋았을,4
전화,4
다재,4
마들렌,4
좋네요,4
스벅,4
시반,4
만끽,4
와도,4
사르르,4
녹는,4
건더기,4
들어있어,4
받아,4
대박,4
없네요,4
건가,4
으로만,4
계산,4
평소,4
왔습니다,4
중요한,4
만이,4
쉬는,4
뚜벅,4
읽고,4
되어있고,4
작업,4
하진,4
아늑하고,4
노래,4
조명,4
않았던,4
지인,4
리얼,4
비쥬,4
도시락,4
아보카도,4
이었고,4
해녀,4
않음,4
해결,4
많지만,4
이신,4
편안하게,4
테라스,4
봐도,4
크로,4
갈만,4
인정,4
있긴,4
보다도,4
훌륭한,4
브뤠베,4
타히티,4
제법,4
여쭤,4
메리,4
추워서,4
빼고는,4
시나몬,4
상상,4
형태,4
있는게,4
산책,4
시원하고,4
취소,4
없다고,4
시나,4
구조,4
편안하고,4
장님,4
블루베리,4
달았다,4
디자인,4
입구,4
괜찮아요,4
전경,4
검색,4
갈아서,4
쿠키,4
섞은,4
만을,4
청귤,4
결제,4
트인,4
다한,4
아메,4
하던데,4
괜찮다로,4
있다는,4
외부,4
모습,4
보내기,4
맞지,4
홍대,4
하네요,4
애월,4
쑥쑥,4
햇살,4
유명한지,4
탁트인,4
찍어도,4
찾는,4
청보리,4
곡물,4
크랜베리,4
차도,3
소문,3
않았습니다,3
말로,3
넓은데,3
일러스트,3
머무를,3
아니다,3
있는듯,3
이쁘게,3
그린,3
가보시길,3
있구요,3
기념,3
오지,3
많았어요,3
어울리고,3
아닌가,3
심플,3
정돈,3
빵빵,3
들었고,3
했네요,3
아니라고,3
친절한,3
시키지,3
착한,3
체다,3
칩스,3
기름,3
즐기기,3
딱이다,3
갔어요,3
느껴졌어요,3
최애,3
시킬까,3
너무나,3
사랑스러운,3
골고루,3
하얀,3
붙여서,3
별도,3
바닥,3
이진,3
부드럽다,3
잇고,3
